"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT",""
"5","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN","CLK_8MHZ"
"6","PH1-OSC_OUT (PH1)","I/O","",""
"7","NRST","Reset","",""
"8","PC0","I/O","ADC1_IN1","CHARGER_ADC_VIN1_USB "
"9","PC1","I/O","ADC1_IN2","CHARGER_ADC_VIN2 "
"10","PC2","I/O","ADC1_IN3","CHARGER_ADC_SYS "
"11","PC3","I/O","ADC1_IN4","CONVERTER_ADC_CONV_VOUT "
"12","VSSA/VREF-","Power","",""
"13","VDDA/VREF+","Power","",""
"14","PA0","I/O","ADC1_IN5","USB_ADC_VUSB "
"15","PA1","I/O","ADC1_IN6","USB_ADC_VUSB_SW "
"16","PA2","I/O","",""
"17","PA3","Output","GPIO_Output","CONVERTER_EN "
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","I/O","GPIO_EXTI4","CONVERTER_INT "
"21","PA5","I/O","",""
"22","PA6","I/O","",""
"23","PA7","I/O","",""
"24","PC4","I/O","",""
"25","PC5","I/O","",""
"26","PB0","Output","GPIO_Output","CHARGER_QON "
"27","PB1","Output","GPIO_Output","CHARGER_CE "
"28","PB2","I/O","GPIO_EXTI2","CHARGER_INT "
"29","PB10","I/O","I2C4_SCL","I2C4_SCL_CHARGER_CONVERTER "
"30","PB11","I/O","I2C4_SDA","I2C4_SDA_CHARGER_CONVERTER "
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","I/O","",""
"34","PB13","I/O","I2C2_SCL","I2C2_SCL_USB_GAUGE "
"35","PB14","I/O","I2C2_SDA","I2C2_SDA_USB_GAUGE "
"36","PB15","I/O","",""
"37","PC6","Output","GPIO_Output","USB_RESET"
"38","PC7","Input","GPIO_Input","USB_ATTACH"
"39","PC8","Input","GPIO_Input","USB_GPIO"
"40","PC9","I/O","GPIO_EXTI9","USB_ALERT "
"41","PA8","I/O","",""
"42","PA9","I/O","USART1_TX","DEDUG_TX"
"43","PA10","I/O","USART1_RX","DEDUG_RX"
"44","PA11","I/O","USB_DM","USB_DM"
"45","PA12","I/O","USB_DP","USB_DP"
"46","PA13 (JTMS/SWDIO)","I/O","SYS_JTMS-SWDIO","SWDIO_TMS"
"47","VSS","Power","",""
"48","VDDUSB","Power","",""
"49","PA14 (JTCK/SWCLK)","I/O","SYS_JTCK-SWCLK","SWCLK_TCK"
"50","PA15 (JTDI)","I/O","",""
"51","PC10","I/O","",""
"52","PC11","I/O","",""
"53","PC12","I/O","",""
"54","PD2","Output","GPIO_Output","UI_HEARTBEAT"
"55","PB3 (JTDO/TRACESWO)","I/O","SYS_JTDO-SWO","SWO_TDO"
"56","PB4 (NJTRST)","I/O","",""
"57","PB5","I/O","",""
"58","PB6","I/O","",""
"59","PB7","I/O","",""
"60","PH3-BOOT0 (BOOT0)","I/O","",""
"61","PB8","I/O","I2C1_SCL","I2C1_SCL"
"62","PB9","I/O","I2C1_SDA","I2C1_SDA"
"63","VSS","Power","",""
"64","VDD","Power","",""
